          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245092:  Msg {692}  GPS {Total = 295   OK = 226   Fail = 69}
           OK,  26/09/2023,  04:00:00 PM,   -18.8433018,    48.0243340,        2D,        0,         ,         ,         
           OK,  26/09/2023,  09:02:56 PM,   -18.8996220,    47.9871368,        2D,        0,         ,         ,         
           OK,  26/09/2023,  11:02:24 PM,   -18.8969097,    47.9804306,        3D,      899,         ,         ,         
           OK,  27/09/2023,  01:01:52 AM,   -18.8890247,    47.9990387,        3D,      897,         ,         ,         
           OK,  27/09/2023,  02:01:36 AM,   -18.9140091,    48.0435829,        2D,        0,         ,         ,         
           OK,  27/09/2023,  04:01:04 AM,   -18.8458633,    48.0241547,        3D,      917,         ,         ,         
           OK,  27/09/2023,  03:02:24 PM,   -18.8459911,    48.0241776,        3D,      930,         ,         ,         
           OK,  27/09/2023,  05:01:52 PM,   -18.9019260,    47.9914360,        2D,        0,         ,         ,         
           OK,  27/09/2023,  06:01:36 PM,   -18.8968830,    47.9805565,        3D,      898,         ,         ,         
           OK,  27/09/2023,  08:01:04 PM,   -18.8971653,    47.9834480,        3D,      907,         ,         ,         
           OK,  27/09/2023,  09:00:48 PM,   -18.8981113,    47.9792786,        3D,       98,         ,         ,         
           OK,  27/09/2023,  10:00:32 PM,   -18.8814201,    47.9761276,        3D,      908,         ,         ,         
           OK,  28/09/2023,  12:00:00 AM,   -18.8844166,    47.9802513,        3D,      970,         ,         ,         
           OK,  28/09/2023,  12:59:44 AM,   -18.8970623,    47.9779701,        3D,      905,         ,         ,         
           OK,  28/09/2023,  01:59:28 AM,   -18.8836727,    48.0049286,        3D,      928,         ,         ,         
           OK,  28/09/2023,  02:59:12 AM,   -18.8458118,    48.0241013,        3D,      934,         ,         ,         
           OK,  28/09/2023,  03:58:56 AM,   -18.8457851,    48.0241013,        3D,      956,         ,         ,         
           OK,  28/09/2023,  09:01:52 AM,   -18.8459644,    48.0239983,        3D,      807,         ,         ,         
           OK,  28/09/2023,  03:00:16 PM,   -18.8458881,    48.0241280,        3D,      946,         ,         ,         
           OK,  28/09/2023,  04:00:00 PM,   -18.8474503,    47.9947891,        3D,     1008,         ,         ,         
           OK,  28/09/2023,  04:59:44 PM,   -18.8967552,    47.9777679,        3D,      931,         ,         ,         
           OK,  28/09/2023,  06:59:12 PM,   -18.8970375,    47.9779701,        3D,      893,         ,         ,         
           OK,  28/09/2023,  07:58:56 PM,   -18.8969593,    47.9782028,        3D,      928,         ,         ,         
           OK,  28/09/2023,  10:02:40 PM,   -18.8950920,    47.9756660,        2D,        0,         ,         ,         
OK(corrected),  28/09/2023,  11:02:24 PM,   -18.8928890,    47.9890556,        3D,      907,         ,         ,         
OK(corrected),  29/09/2023,  01:01:52 AM,   -18.8746624,    48.0040588,        3D,      921,         ,         ,         
           OK,  29/09/2023,  03:01:20 AM,   -18.8458633,    48.0240784,        3D,      944,         ,         ,         
           OK,  29/09/2023,  04:01:04 AM,   -18.8458118,    48.0240517,        3D,      930,         ,         ,         
           OK,  29/09/2023,  08:59:44 AM,   -18.8457603,    48.0242577,        3D,     1000,         ,         ,         
           OK,  29/09/2023,  04:02:08 PM,   -18.8549767,    48.0296059,        3D,      902,         ,         ,         
           OK,  29/09/2023,  05:01:52 PM,   -18.8621960,    48.0346756,        2D,        0,         ,         ,         
           OK,  29/09/2023,  07:01:20 PM,   -18.8969860,    47.9779968,        3D,      881,         ,         ,         
           OK,  29/09/2023,  08:01:04 PM,   -18.8950138,    47.9810448,        3D,      905,         ,         ,         
           OK,  29/09/2023,  09:00:48 PM,   -18.8814716,    47.9761009,        3D,      909,         ,         ,         
           OK,  29/09/2023,  10:00:32 PM,   -18.8754044,    48.0014191,        3D,      919,         ,         ,         
           OK,  30/09/2023,  12:59:44 AM,   -18.8749447,    48.0040054,        3D,      811,         ,         ,         
           OK,  30/09/2023,  02:59:12 AM,   -18.8458366,    48.0240784,        3D,      935,         ,         ,         
           OK,  30/09/2023,  03:58:56 AM,   -18.8457603,    48.0241280,        3D,      942,         ,         ,         
           OK,  30/09/2023,  09:01:52 AM,   -18.8459396,    48.0241280,        3D,      979,         ,         ,         
           OK,  30/09/2023,  04:00:00 PM,   -18.8549767,    48.0295029,        3D,      921,         ,         ,         
           OK,  30/09/2023,  04:59:44 PM,   -18.8845177,    48.0084343,        3D,     1030,         ,         ,         
           OK,  30/09/2023,  05:59:28 PM,   -18.9260921,    47.9577217,        3D,      961,         ,         ,         
           OK,  30/09/2023,  06:59:12 PM,   -18.9260674,    47.9576721,        3D,      957,         ,         ,         
           OK,  30/09/2023,  08:03:12 PM,   -18.9244804,    47.9600525,        2D,        0,         ,         ,         
           OK,  30/09/2023,  10:02:40 PM,   -18.9223289,    47.9617157,        3D,      965,         ,         ,         
           OK,  30/09/2023,  11:02:24 PM,   -18.8971386,    47.9778938,        2D,        0,         ,         ,         
           OK,  01/10/2023,  12:02:08 AM,   -18.8970623,    47.9780235,        3D,      891,         ,         ,         
           OK,  01/10/2023,  02:01:36 AM,   -18.8744316,    48.0020370,        3D,      936,         ,         ,         
           OK,  01/10/2023,  03:01:20 AM,   -18.8458118,    48.0241013,        3D,      937,         ,         ,         
           OK,  01/10/2023,  04:01:04 AM,   -18.8457603,    48.0241280,        3D,      921,         ,         ,         
           OK,  01/10/2023,  08:59:44 AM,   -18.8459129,    48.0241013,        3D,      979,         ,         ,         
           OK,  01/10/2023,  03:02:24 PM,   -18.8456059,    48.0243340,        3D,      952,         ,         ,         
           OK,  01/10/2023,  04:02:08 PM,   -18.8549767,    48.0294266,        3D,      934,         ,         ,         
           OK,  01/10/2023,  05:01:52 PM,   -18.9254017,    47.9589005,        3D,      890,         ,         ,         
           OK,  01/10/2023,  07:01:20 PM,   -18.9264259,    47.9577713,        3D,      985,         ,         ,         
           OK,  01/10/2023,  08:01:04 PM,   -18.9259644,    47.9575920,        3D,     1015,         ,         ,         
           OK,  01/10/2023,  10:00:32 PM,   -18.8969345,    47.9805832,        3D,      890,         ,         ,         
           OK,  01/10/2023,  11:00:16 PM,   -18.8937340,    47.9847794,        2D,        0,         ,         ,         
           OK,  02/10/2023,  12:00:00 AM,   -18.8754311,    48.0010376,        3D,      958,         ,         ,         
           OK,  02/10/2023,  12:59:44 AM,   -18.8753529,    48.0012932,        3D,      952,         ,         ,         
           OK,  02/10/2023,  02:59:12 AM,   -18.8457851,    48.0240784,        3D,      948,         ,         ,         
           OK,  02/10/2023,  09:01:52 AM,   -18.8458633,    48.0241280,        3D,      955,         ,         ,         
           OK,  02/10/2023,  03:00:16 PM,   -18.8456841,    48.0240784,        3D,      943,         ,         ,         
           OK,  02/10/2023,  04:00:00 PM,   -18.8549500,    48.0295029,        3D,      907,         ,         ,         
           OK,  02/10/2023,  04:59:44 PM,   -18.8649597,    48.0231056,        3D,      944,         ,         ,         
           OK,  02/10/2023,  06:59:12 PM,   -18.8751488,    47.9908218,        2D,        0,         ,         ,         
           OK,  02/10/2023,  08:03:12 PM,   -18.8968315,    47.9802742,        3D,      712,         ,         ,         
           OK,  02/10/2023,  10:02:40 PM,   -18.8951168,    47.9810677,        3D,      895,         ,         ,         
           OK,  02/10/2023,  11:02:24 PM,   -18.8929157,    47.9890289,        3D,      907,         ,         ,         
           OK,  03/10/2023,  12:02:08 AM,   -18.9074821,    47.9861374,        2D,        0,         ,         ,         
           OK,  03/10/2023,  01:01:52 AM,   -18.9221249,    47.9321480,        2D,        0,         ,         ,         
           OK,  03/10/2023,  02:01:36 AM,   -18.8454533,    48.0242043,        3D,      891,         ,         ,         
           OK,  03/10/2023,  03:01:20 AM,   -18.8458366,    48.0241013,        3D,      930,         ,         ,         
           OK,  03/10/2023,  04:01:04 AM,   -18.8457851,    48.0241547,        3D,      970,         ,         ,         
           OK,  03/10/2023,  03:02:24 PM,   -18.8458881,    48.0242043,        3D,      924,         ,         ,         
           OK,  03/10/2023,  04:02:08 PM,   -18.8800125,    48.0021896,        3D,      933,         ,         ,         
           OK,  03/10/2023,  06:01:36 PM,   -18.8970623,    47.9805565,        3D,      880,         ,         ,         
           OK,  03/10/2023,  07:01:20 PM,   -18.8973446,    47.9833488,        3D,      950,         ,         ,         
           OK,  03/10/2023,  09:00:48 PM,   -18.8938103,    47.9681396,        2D,        0,         ,         ,         
           OK,  03/10/2023,  10:00:32 PM,   -18.8969345,    47.9805565,        3D,      863,         ,         ,         
           OK,  03/10/2023,  11:00:16 PM,   -18.8935814,    47.9890556,        2D,        0,         ,         ,         
           OK,  04/10/2023,  12:00:00 AM,   -18.8752766,    48.0015755,        3D,      885,         ,         ,         
           OK,  04/10/2023,  01:59:28 AM,   -18.8514175,    48.0206223,        3D,      955,         ,         ,         
           OK,  04/10/2023,  02:59:12 AM,   -18.8457851,    48.0241280,        3D,      959,         ,         ,         
           OK,  04/10/2023,  03:58:56 AM,   -18.8458633,    48.0240784,        3D,      933,         ,         ,         
           OK,  04/10/2023,  09:01:52 AM,   -18.8459129,    48.0240517,        3D,      952,         ,         ,         
           OK,  04/10/2023,  04:00:00 PM,   -18.8649349,    48.0257149,        3D,     1057,         ,         ,         
           OK,  04/10/2023,  04:59:44 PM,   -18.8972168,    47.9831429,        3D,      926,         ,         ,         
           OK,  04/10/2023,  05:59:28 PM,   -18.8969593,    47.9805832,        3D,      883,         ,         ,         
           OK,  04/10/2023,  06:59:12 PM,   -18.8969593,    47.9805298,        3D,      899,         ,         ,         
           OK,  04/10/2023,  08:03:12 PM,   -18.8890495,    47.9897461,        3D,      805,         ,         ,         
           OK,  04/10/2023,  09:02:56 PM,   -18.8894329,    47.9977875,        3D,      891,         ,         ,         
           OK,  04/10/2023,  11:02:24 PM,   -18.8758659,    48.0011635,        3D,      741,         ,         ,         
           OK,  05/10/2023,  01:01:52 AM,   -18.8799877,    48.0023155,        3D,      932,         ,         ,         
           OK,  05/10/2023,  02:01:36 AM,   -18.8949623,    47.9667053,        2D,        0,         ,         ,         
           OK,  05/10/2023,  04:01:04 AM,   -18.8456059,    48.0239983,        3D,      945,         ,         ,         
           OK,  05/10/2023,  08:59:44 AM,   -18.8453751,    48.0237694,        3D,      792,         ,         ,         
           OK,  05/10/2023,  03:02:24 PM,   -18.8456059,    48.0241280,        3D,      942,         ,         ,         
           OK,  05/10/2023,  04:02:08 PM,   -18.9260921,    47.9577217,        3D,      970,         ,         ,         
           OK,  05/10/2023,  05:01:52 PM,   -18.8998528,    47.9786873,        3D,      921,         ,         ,         
           OK,  05/10/2023,  06:01:36 PM,   -18.8968830,    47.9805565,        3D,      875,         ,         ,         
           OK,  05/10/2023,  07:01:20 PM,   -18.8970108,    47.9803772,        3D,      892,         ,         ,         
