          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245099:  Msg {475}  GPS {Total = 238   OK = 214   Fail = 24}
           OK,  26/09/2023,  05:59:28 PM,   -18.9433727,    48.0574074,        3D,     1209,         ,         ,         
           OK,  26/09/2023,  06:59:12 PM,   -18.9400959,    48.0563850,        3D,     1192,         ,         ,         
           OK,  26/09/2023,  07:58:56 PM,   -18.9401474,    48.0562820,        3D,     1194,         ,         ,         
           OK,  26/09/2023,  09:02:56 PM,   -18.9444485,    48.0575600,        3D,      296,         ,         ,         
           OK,  26/09/2023,  10:02:40 PM,   -18.9399166,    48.0581245,        3D,     1189,         ,         ,         
           OK,  27/09/2023,  01:01:52 AM,   -18.8426361,    48.0309105,        3D,      914,         ,         ,         
           OK,  27/09/2023,  02:01:36 AM,   -18.8487034,    48.0436859,        2D,        0,         ,         ,         
           OK,  27/09/2023,  03:01:20 AM,   -18.8460922,    48.0239983,        3D,      937,         ,         ,         
           OK,  27/09/2023,  04:01:04 AM,   -18.8461437,    48.0239983,        3D,      931,         ,         ,         
           OK,  27/09/2023,  08:59:44 AM,   -18.8461189,    48.0240517,        3D,      956,         ,         ,         
           OK,  27/09/2023,  04:02:08 PM,   -18.9399681,    48.0564613,        3D,     1183,         ,         ,         
           OK,  27/09/2023,  05:01:52 PM,   -18.9410954,    48.0565872,        3D,     1190,         ,         ,         
           OK,  27/09/2023,  06:01:36 PM,   -18.9398918,    48.0580482,        3D,     1185,         ,         ,         
           OK,  27/09/2023,  07:01:20 PM,   -18.9366150,    48.0596619,        3D,       71,         ,         ,         
           OK,  27/09/2023,  08:01:04 PM,   -18.9522552,    48.0671120,        2D,        0,         ,         ,         
           OK,  28/09/2023,  12:00:00 AM,   -18.9432964,    48.0574837,        3D,     1165,         ,         ,         
           OK,  28/09/2023,  01:59:28 AM,   -18.8429699,    48.0302963,        3D,      901,         ,         ,         
           OK,  28/09/2023,  02:59:12 AM,   -18.8461437,    48.0240784,        3D,      961,         ,         ,         
           OK,  28/09/2023,  03:58:56 AM,   -18.8461952,    48.0239754,        3D,      942,         ,         ,         
           OK,  28/09/2023,  09:01:52 AM,   -18.8460922,    48.0239983,        3D,      943,         ,         ,         
           OK,  28/09/2023,  04:00:00 PM,   -18.9399681,    48.0580978,        3D,     1184,         ,         ,         
           OK,  28/09/2023,  11:02:24 PM,   -18.8946552,    48.0739708,        3D,     1140,         ,         ,         
           OK,  29/09/2023,  12:02:08 AM,   -18.8424072,    48.0313225,        3D,      802,         ,         ,         
           OK,  29/09/2023,  03:01:20 AM,   -18.8460407,    48.0239754,        3D,      944,         ,         ,         
           OK,  29/09/2023,  04:01:04 AM,   -18.8461189,    48.0240517,        3D,      948,         ,         ,         
           OK,  29/09/2023,  08:59:44 AM,   -18.8460922,    48.0238991,        3D,      945,         ,         ,         
           OK,  29/09/2023,  03:02:24 PM,   -18.8461437,    48.0239754,        3D,      966,         ,         ,         
           OK,  29/09/2023,  04:02:08 PM,   -18.9646206,    48.0476303,        3D,     1115,         ,         ,         
           OK,  29/09/2023,  05:01:52 PM,   -18.9401207,    48.0563850,        3D,     1201,         ,         ,         
           OK,  29/09/2023,  06:01:36 PM,   -18.9401474,    48.0565376,        3D,     1218,         ,         ,         
           OK,  29/09/2023,  07:01:20 PM,   -18.9407101,    48.0568466,        3D,     1170,         ,         ,         
           OK,  29/09/2023,  10:00:32 PM,   -18.9421444,    48.0651398,        3D,     1054,         ,         ,         
           OK,  29/09/2023,  11:00:16 PM,   -18.9421444,    48.0650101,        3D,     1034,         ,         ,         
           OK,  30/09/2023,  12:00:00 AM,   -18.9299335,    48.0605583,        3D,     1202,         ,         ,         
           OK,  30/09/2023,  12:59:44 AM,   -18.8427143,    48.0312691,        3D,      919,         ,         ,         
           OK,  30/09/2023,  01:59:28 AM,   -18.8449154,    48.0320625,        2D,        0,         ,         ,         
           OK,  30/09/2023,  02:59:12 AM,   -18.8460922,    48.0240250,        3D,      939,         ,         ,         
           OK,  30/09/2023,  03:58:56 AM,   -18.8460674,    48.0240784,        3D,      958,         ,         ,         
           OK,  30/09/2023,  09:01:52 AM,   -18.8461437,    48.0241280,        3D,      988,         ,         ,         
           OK,  30/09/2023,  04:00:00 PM,   -18.9598331,    48.0596848,        3D,     1163,         ,         ,         
           OK,  30/09/2023,  04:59:44 PM,   -18.9399433,    48.0579987,        3D,     1203,         ,         ,         
           OK,  30/09/2023,  05:59:28 PM,   -18.9400959,    48.0563850,        3D,     1183,         ,         ,         
           OK,  30/09/2023,  06:59:12 PM,   -18.9421444,    48.0650368,        3D,     1044,         ,         ,         
           OK,  30/09/2023,  08:58:40 PM,   -18.9421692,    48.0650368,        3D,     1053,         ,         ,         
           OK,  30/09/2023,  11:02:24 PM,   -18.9421692,    48.0651665,        3D,     1061,         ,         ,         
           OK,  01/10/2023,  12:02:08 AM,   -18.9352570,    48.0561028,        3D,     1245,         ,         ,         
           OK,  01/10/2023,  02:01:36 AM,   -18.8460674,    48.0240517,        3D,      932,         ,         ,         
           OK,  01/10/2023,  03:01:20 AM,   -18.8461437,    48.0240250,        3D,      943,         ,         ,         
           OK,  01/10/2023,  04:01:04 AM,   -18.8460674,    48.0239754,        3D,      963,         ,         ,         
           OK,  01/10/2023,  08:59:44 AM,   -18.8460674,    48.0240784,        3D,      948,         ,         ,         
           OK,  01/10/2023,  03:02:24 PM,   -18.8461704,    48.0240784,        3D,      956,         ,         ,         
           OK,  01/10/2023,  04:02:08 PM,   -18.8691063,    48.0268173,        3D,      948,         ,         ,         
           OK,  01/10/2023,  05:01:52 PM,   -18.9400959,    48.0564880,        3D,     1223,         ,         ,         
           OK,  01/10/2023,  07:01:20 PM,   -18.9420929,    48.0650101,        3D,     1028,         ,         ,         
           OK,  01/10/2023,  08:01:04 PM,   -18.9419136,    48.0657272,        3D,     1036,         ,         ,         
           OK,  01/10/2023,  09:00:48 PM,   -18.9420414,    48.0656509,        3D,     1033,         ,         ,         
           OK,  01/10/2023,  10:00:32 PM,   -18.9421177,    48.0651398,        3D,     1033,         ,         ,         
           OK,  02/10/2023,  12:59:44 AM,   -18.8772736,    48.0381813,        3D,      924,         ,         ,         
           OK,  02/10/2023,  01:59:28 AM,   -18.8448391,    48.0261765,        3D,      938,         ,         ,         
           OK,  02/10/2023,  04:03:12 AM,   -18.8464508,    48.0122223,        2D,        0,         ,         ,         
           OK,  02/10/2023,  09:01:52 AM,   -18.8461704,    48.0242805,        3D,      975,         ,         ,         
           OK,  02/10/2023,  03:00:16 PM,   -18.8451977,    48.0313225,        3D,       14,         ,         ,         
           OK,  02/10/2023,  04:59:44 PM,   -18.9261189,    48.0572548,        2D,        0,         ,         ,         
           OK,  02/10/2023,  06:59:12 PM,   -18.9489536,    48.0676231,        2D,        0,         ,         ,         
           OK,  02/10/2023,  08:03:12 PM,   -18.9436035,    48.0693626,        2D,        0,         ,         ,         
           OK,  02/10/2023,  10:02:40 PM,   -18.9419384,    48.0657005,        3D,     1016,         ,         ,         
           OK,  02/10/2023,  11:02:24 PM,   -18.9412479,    48.0654716,        3D,     1048,         ,         ,         
           OK,  03/10/2023,  12:02:08 AM,   -18.9398136,    48.0566902,        3D,     1219,         ,         ,         
           OK,  03/10/2023,  02:01:36 AM,   -18.8384895,    48.0303230,        2D,        0,         ,         ,         
           OK,  03/10/2023,  03:01:20 AM,   -18.8460674,    48.0241013,        3D,      936,         ,         ,         
           OK,  03/10/2023,  04:01:04 AM,   -18.8460922,    48.0241013,        3D,      940,         ,         ,         
           OK,  03/10/2023,  08:59:44 AM,   -18.8462715,    48.0240517,        3D,      974,         ,         ,         
