          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245093:  Msg {468}  GPS {Total = 230   OK = 159   Fail = 71}
           OK,  26/09/2023,  06:59:12 PM,   -18.3102856,    48.1443977,        2D,        0,         ,         ,         
           OK,  26/09/2023,  09:02:56 PM,   -18.3792763,    48.1056366,        3D,      889,         ,         ,         
           OK,  26/09/2023,  11:02:24 PM,   -18.3791752,    48.1054344,        3D,      877,         ,         ,         
           OK,  27/09/2023,  12:02:08 AM,   -18.4477062,    48.1334152,        2D,        0,         ,         ,         
           OK,  27/09/2023,  02:01:36 AM,   -18.3891850,    48.1156731,        3D,      933,         ,         ,         
           OK,  27/09/2023,  04:01:04 AM,   -18.4028549,    48.1249390,        3D,      945,         ,         ,         
           OK,  27/09/2023,  08:59:44 AM,   -18.4028549,    48.1249390,        3D,      956,         ,         ,         
           OK,  27/09/2023,  03:02:24 PM,   -18.4023933,    48.1317749,        2D,        0,         ,         ,         
           OK,  27/09/2023,  04:02:08 PM,   -18.3527031,    48.0841866,        3D,      952,         ,         ,         
           OK,  27/09/2023,  05:01:52 PM,   -18.3545723,    48.0892296,        2D,        0,         ,         ,         
           OK,  27/09/2023,  08:01:04 PM,   -18.3880577,    48.1151123,        3D,      944,         ,         ,         
           OK,  28/09/2023,  01:59:28 AM,   -18.3865471,    48.1137810,        3D,      892,         ,         ,         
           OK,  28/09/2023,  02:59:12 AM,   -18.4028282,    48.1249161,        3D,      943,         ,         ,         
           OK,  28/09/2023,  04:03:12 AM,   -18.4028034,    48.1249924,        3D,      948,         ,         ,         
           OK,  28/09/2023,  09:01:52 AM,   -18.4029064,    48.1249161,        3D,      964,         ,         ,         
           OK,  28/09/2023,  04:00:00 PM,   -18.3978615,    48.1303177,        3D,      920,         ,         ,         
           OK,  28/09/2023,  04:59:44 PM,   -18.3849602,    48.1125488,        3D,      933,         ,         ,         
           OK,  28/09/2023,  06:59:12 PM,   -18.3867512,    48.1132927,        3D,      921,         ,         ,         
