          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245097:  Msg {463}  GPS {Total = 229   OK = 193   Fail = 36}
           OK,  01/10/2023,  08:59:44 AM,   -18.5562744,    48.1174126,        3D,      969,         ,         ,         
           OK,  01/10/2023,  03:02:24 PM,   -18.5579128,    48.1101952,        3D,      966,         ,         ,         
           OK,  01/10/2023,  04:02:08 PM,   -18.5580425,    48.1113472,        3D,      877,         ,         ,         
           OK,  01/10/2023,  05:01:52 PM,   -18.5555325,    48.1102715,        3D,      914,         ,         ,         
           OK,  01/10/2023,  07:01:20 PM,   -18.5585537,    48.1130104,        3D,      863,         ,         ,         
           OK,  01/10/2023,  10:00:32 PM,   -18.5574532,    48.1116295,        3D,      891,         ,         ,         
           OK,  01/10/2023,  11:00:16 PM,   -18.5593224,    48.1137543,        3D,      896,         ,         ,         
           OK,  02/10/2023,  12:00:00 AM,   -18.5592957,    48.1137543,        3D,      895,         ,         ,         
           OK,  02/10/2023,  12:59:44 AM,   -18.5594234,    48.1137009,        3D,      905,         ,         ,         
           OK,  02/10/2023,  01:59:28 AM,   -18.5593472,    48.1137810,        3D,      907,         ,         ,         
           OK,  02/10/2023,  03:58:56 AM,   -18.5593472,    48.1137276,        3D,      902,         ,         ,         
           OK,  02/10/2023,  09:01:52 AM,   -18.5592442,    48.1137009,        3D,      860,         ,         ,         
           OK,  02/10/2023,  03:00:16 PM,   -18.5593987,    48.1138039,        3D,      906,         ,         ,         
           OK,  02/10/2023,  04:00:00 PM,   -18.5595016,    48.1196404,        3D,      886,         ,         ,         
           OK,  02/10/2023,  04:59:44 PM,   -18.5593987,    48.1199493,        3D,      919,         ,         ,         
           OK,  02/10/2023,  07:58:56 PM,   -18.5593472,    48.1136513,        3D,      898,         ,         ,         
           OK,  03/10/2023,  01:01:52 AM,   -18.5734520,    48.0852356,        3D,      833,         ,         ,         
           OK,  03/10/2023,  02:01:36 AM,   -18.5735817,    48.0852356,        3D,      883,         ,         ,         
           OK,  03/10/2023,  03:01:20 AM,   -18.5736580,    48.0852623,        3D,      881,         ,         ,         
           OK,  03/10/2023,  04:01:04 AM,   -18.5735550,    48.0852852,        3D,      891,         ,         ,         
           OK,  03/10/2023,  08:59:44 AM,   -18.5735817,    48.0852089,        3D,      892,         ,         ,         
           OK,  03/10/2023,  03:02:24 PM,   -18.5736580,    48.0853386,        3D,      869,         ,         ,         
           OK,  03/10/2023,  04:02:08 PM,   -18.5802116,    48.0849037,        3D,      903,         ,         ,         
           OK,  03/10/2023,  06:01:36 PM,   -18.5924988,    48.0911751,        3D,      898,         ,         ,         
           OK,  03/10/2023,  07:01:20 PM,   -18.5920887,    48.0936050,        3D,      846,         ,         ,         
           OK,  03/10/2023,  08:01:04 PM,   -18.5874310,    48.0979309,        2D,        0,         ,         ,         
           OK,  03/10/2023,  09:00:48 PM,   -18.5881729,    48.0979309,        3D,      911,         ,         ,         
           OK,  03/10/2023,  11:00:16 PM,   -18.5883522,    48.0980873,        3D,      728,         ,         ,         
           OK,  04/10/2023,  12:00:00 AM,   -18.5881214,    48.0980110,        3D,      891,         ,         ,         
           OK,  04/10/2023,  12:59:44 AM,   -18.5947781,    48.1142921,        2D,        0,         ,         ,         
           OK,  04/10/2023,  01:59:28 AM,   -18.5881214,    48.0979080,        3D,      922,         ,         ,         
           OK,  04/10/2023,  02:59:12 AM,   -18.5882492,    48.0979309,        3D,      864,         ,         ,         
           OK,  04/10/2023,  03:58:56 AM,   -18.5881729,    48.0979080,        3D,      908,         ,         ,         
           OK,  04/10/2023,  05:59:28 PM,   -18.5878658,    48.0983925,        3D,      945,         ,         ,         
           OK,  04/10/2023,  07:58:56 PM,   -18.5877895,    48.0984688,        3D,      931,         ,         ,         
           OK,  04/10/2023,  08:58:40 PM,   -18.5878391,    48.0984459,        3D,      918,         ,         ,         
           OK,  04/10/2023,  10:02:40 PM,   -18.5877895,    48.0983696,        3D,      916,         ,         ,         
           OK,  04/10/2023,  11:02:24 PM,   -18.5878143,    48.0984459,        3D,      925,         ,         ,         
           OK,  05/10/2023,  12:02:08 AM,   -18.5877895,    48.0983696,        3D,      962,         ,         ,         
           OK,  05/10/2023,  01:01:52 AM,   -18.5877380,    48.0983696,        3D,      926,         ,         ,         
           OK,  05/10/2023,  02:01:36 AM,   -18.5878658,    48.0984955,        3D,      887,         ,         ,         
           OK,  05/10/2023,  04:01:04 AM,   -18.5877380,    48.0984459,        3D,      858,         ,         ,         
           OK,  05/10/2023,  08:59:44 AM,   -18.5878143,    48.0983925,        3D,      913,         ,         ,         
           OK,  05/10/2023,  03:02:24 PM,   -18.5878391,    48.0984459,        3D,      920,         ,         ,         
           OK,  05/10/2023,  04:02:08 PM,   -18.5881977,    48.0983696,        3D,      890,         ,         ,         
           OK,  05/10/2023,  05:01:52 PM,   -18.5881481,    48.0982895,        3D,      894,         ,         ,         
           OK,  05/10/2023,  07:01:20 PM,   -18.5878906,    48.0982666,        3D,      936,         ,         ,         
           OK,  05/10/2023,  08:01:04 PM,   -18.5878391,    48.0983925,        3D,      941,         ,         ,         
           OK,  05/10/2023,  09:00:48 PM,   -18.5881977,    48.0983162,        3D,      912,         ,         ,         
           OK,  05/10/2023,  10:00:32 PM,   -18.5881977,    48.0983925,        3D,      901,         ,         ,         
           OK,  05/10/2023,  11:00:16 PM,   -18.5880699,    48.0982666,        3D,      901,         ,         ,         
           OK,  06/10/2023,  12:00:00 AM,   -18.5880184,    48.0983162,        3D,      926,         ,         ,         
           OK,  06/10/2023,  12:59:44 AM,   -18.5880966,    48.0982666,        3D,      905,         ,         ,         
           OK,  06/10/2023,  02:59:12 AM,   -18.5880699,    48.0983162,        3D,      919,         ,         ,         
           OK,  06/10/2023,  09:01:52 AM,   -18.5880699,    48.0982895,        3D,      930,         ,         ,         
           OK,  06/10/2023,  03:00:16 PM,   -18.5879936,    48.0980110,        3D,      964,         ,         ,         
           OK,  06/10/2023,  04:00:00 PM,   -18.5881214,    48.0982895,        3D,      921,         ,         ,         
           OK,  06/10/2023,  04:59:44 PM,   -18.5881481,    48.0981102,        3D,      914,         ,         ,         
           OK,  06/10/2023,  06:59:12 PM,   -18.5881977,    48.0983429,        3D,      895,         ,         ,         
           OK,  06/10/2023,  07:58:56 PM,   -18.5880966,    48.0982895,        3D,      880,         ,         ,         
           OK,  06/10/2023,  08:58:40 PM,   -18.5879936,    48.0980873,        3D,      934,         ,         ,         
           OK,  06/10/2023,  10:02:40 PM,   -18.5880451,    48.0982132,        3D,      928,         ,         ,         
           OK,  06/10/2023,  11:02:24 PM,   -18.5880966,    48.0981903,        3D,      904,         ,         ,         
           OK,  07/10/2023,  12:02:08 AM,   -18.5881214,    48.0982399,        3D,      909,         ,         ,         
           OK,  07/10/2023,  01:01:52 AM,   -18.5880966,    48.0984192,        3D,      876,         ,         ,         
           OK,  07/10/2023,  02:01:36 AM,   -18.5880699,    48.0982132,        3D,      934,         ,         ,         
           OK,  07/10/2023,  03:01:20 AM,   -18.5880451,    48.0982132,        3D,      900,         ,         ,         
           OK,  07/10/2023,  04:01:04 AM,   -18.5881214,    48.0982895,        3D,      901,         ,         ,         
           OK,  07/10/2023,  08:59:44 AM,   -18.5879936,    48.0983162,        3D,      940,         ,         ,         
           OK,  07/10/2023,  03:02:24 PM,   -18.5880451,    48.0982895,        3D,      935,         ,         ,         
           OK,  07/10/2023,  05:01:52 PM,   -18.5881481,    48.0982666,        3D,      922,         ,         ,         
           OK,  07/10/2023,  06:01:36 PM,   -18.5881214,    48.0982132,        3D,      938,         ,         ,         
           OK,  07/10/2023,  07:01:20 PM,   -18.5881481,    48.0982399,        3D,      914,         ,         ,         
           OK,  07/10/2023,  08:01:04 PM,   -18.5880184,    48.0980339,        3D,      963,         ,         ,         
           OK,  07/10/2023,  09:00:48 PM,   -18.5881481,    48.0982132,        3D,      926,         ,         ,         
           OK,  07/10/2023,  10:00:32 PM,   -18.5881481,    48.0983162,        3D,      908,         ,         ,         
           OK,  07/10/2023,  11:00:16 PM,   -18.5880966,    48.0982895,        3D,      908,         ,         ,         
           OK,  08/10/2023,  12:00:00 AM,   -18.5880699,    48.0982132,        3D,      909,         ,         ,         
           OK,  08/10/2023,  12:59:44 AM,   -18.5878143,    48.1035118,        2D,        0,         ,         ,         
           OK,  08/10/2023,  01:59:28 AM,   -18.5880966,    48.0981903,        3D,      900,         ,         ,         
           OK,  08/10/2023,  04:03:12 AM,   -18.5879936,    48.0981636,        3D,      924,         ,         ,         
           OK,  08/10/2023,  09:01:52 AM,   -18.5859451,    48.1015930,        3D,       78,         ,         ,         
           OK,  08/10/2023,  03:00:16 PM,   -18.5881214,    48.0983696,        3D,      903,         ,         ,         
           OK,  08/10/2023,  04:00:00 PM,   -18.5881729,    48.0981636,        3D,      948,         ,         ,         
           OK,  08/10/2023,  04:59:44 PM,   -18.5881729,    48.0982399,        3D,      880,         ,         ,         
           OK,  08/10/2023,  05:59:28 PM,   -18.5881977,    48.0982895,        3D,      912,         ,         ,         
           OK,  08/10/2023,  06:59:12 PM,   -18.5881729,    48.0982666,        3D,      903,         ,         ,         
           OK,  08/10/2023,  07:58:56 PM,   -18.5880451,    48.0981102,        3D,      982,         ,         ,         
           OK,  08/10/2023,  09:02:56 PM,   -18.5880966,    48.0982132,        3D,      960,         ,         ,         
           OK,  08/10/2023,  10:02:40 PM,   -18.5880451,    48.0982399,        3D,      914,         ,         ,         
           OK,  08/10/2023,  11:02:24 PM,   -18.5879936,    48.0980339,        3D,      912,         ,         ,         
           OK,  09/10/2023,  12:02:08 AM,   -18.5881481,    48.0982895,        3D,      908,         ,         ,         
           OK,  09/10/2023,  01:01:52 AM,   -18.5879173,    48.0988274,        3D,      804,         ,         ,         
           OK,  09/10/2023,  02:01:36 AM,   -18.5880184,    48.0981369,        3D,      939,         ,         ,         
           OK,  09/10/2023,  03:01:20 AM,   -18.5880699,    48.0982666,        3D,      923,         ,         ,         
           OK,  09/10/2023,  04:01:04 AM,   -18.5880699,    48.0982132,        3D,      912,         ,         ,         
           OK,  09/10/2023,  08:59:44 AM,   -18.5881214,    48.0982666,        3D,      938,         ,         ,         
           OK,  09/10/2023,  03:02:24 PM,   -18.5881977,    48.0982666,        3D,      911,         ,         ,         
           OK,  09/10/2023,  04:02:08 PM,   -18.5882759,    48.0983429,        3D,      920,         ,         ,         
           OK,  09/10/2023,  05:01:52 PM,   -18.5888386,    48.1014671,        3D,      103,         ,         ,         
           OK,  09/10/2023,  06:01:36 PM,   -18.5880966,    48.0982895,        3D,      948,         ,         ,         
           OK,  09/10/2023,  07:01:20 PM,   -18.5881481,    48.0982666,        3D,      923,         ,         ,         
           OK,  09/10/2023,  08:01:04 PM,   -18.5881481,    48.0982132,        3D,      923,         ,         ,         
           OK,  09/10/2023,  09:00:48 PM,   -18.5880699,    48.0982399,        3D,      927,         ,         ,         
           OK,  09/10/2023,  10:00:32 PM,   -18.5880699,    48.0982399,        3D,      911,         ,         ,         
           OK,  09/10/2023,  11:00:16 PM,   -18.5880699,    48.0982666,        3D,      924,         ,         ,         
           OK,  10/10/2023,  12:00:00 AM,   -18.5880966,    48.0981903,        3D,      929,         ,         ,         
           OK,  10/10/2023,  12:59:44 AM,   -18.5881214,    48.0983696,        3D,      900,         ,         ,         
           OK,  10/10/2023,  01:59:28 AM,   -18.5881481,    48.0982666,        3D,      912,         ,         ,         
           OK,  10/10/2023,  02:59:12 AM,   -18.5881481,    48.0981636,        3D,      910,         ,         ,         
           OK,  10/10/2023,  09:01:52 AM,   -18.5899143,    48.0988274,        2D,        0,         ,         ,         
           OK,  10/10/2023,  03:00:16 PM,   -18.5881481,    48.0982666,        3D,      919,         ,         ,         
           OK,  10/10/2023,  04:00:00 PM,   -18.5880966,    48.0982132,        3D,      928,         ,         ,         
           OK,  10/10/2023,  04:59:44 PM,   -18.5880966,    48.0981636,        3D,      932,         ,         ,         
           OK,  10/10/2023,  05:59:28 PM,   -18.5881729,    48.0983162,        3D,      910,         ,         ,         
           OK,  10/10/2023,  06:59:12 PM,   -18.5881481,    48.0984688,        3D,      919,         ,         ,         
           OK,  10/10/2023,  08:03:12 PM,   -18.5880966,    48.0983162,        3D,      915,         ,         ,         
           OK,  10/10/2023,  09:02:56 PM,   -18.5879421,    48.0981636,        3D,      850,         ,         ,         
           OK,  10/10/2023,  10:02:40 PM,   -18.5880184,    48.0981636,        3D,      913,         ,         ,         
           OK,  10/10/2023,  11:02:24 PM,   -18.5880966,    48.0982399,        3D,      921,         ,         ,         
