event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,external-temperature,gps:fix-type-raw,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-ellipsoid,import-marked-outlier,location-error-text,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29453925678,TRUE,8/12/23 8:59,47.2200813,-20.4692345,,,3D,,,,,1358,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
29453925679,TRUE,8/12/23 17:01,47.2176018,-20.4699268,,,3D,,,,,1340,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
29453925680,TRUE,8/12/23 18:01,47.2176247,-20.4699516,,,3D,,,,,1301,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
29453925681,TRUE,8/12/23 19:01,47.2176514,-20.4699268,,,3D,,,,,1344,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
29453925682,TRUE,8/12/23 20:01,47.2174988,-20.4699268,,,3D,,,,,1345,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
29453925683,TRUE,8/12/23 21:00,47.2177277,-20.4700794,,,3D,,,,,1358,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
29453925684,TRUE,8/12/23 22:00,47.2176247,-20.4700546,,,3D,,,,,1333,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
29453925686,TRUE,8/12/23 23:00,47.2175217,-20.4701824,,,3D,,,,,1365,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
29453925687,TRUE,8/13/23 0:00,47.2175484,-20.4700031,,,3D,,,,,1338,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
29453925688,TRUE,8/13/23 0:59,47.2113533,-20.4610939,,,2D,,,,,0,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,245097,MAN002,Malagasy Pteropodid Telemetry
